,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,39.1,25.6,24.4,18.5,17.6,20.0,18.8,13.9,21.7,13.1,14.6,11.0,10.4,14.4,16.8,11.3,13.6,10.0,12.1,10.8,10.7,7.2,10.9,7.2,12.0,9.5,6.7,7.8,8.8,6.7,5.8,6.5,7.1,7.4,6.5,9.7,6.2,6.1,5.5,6.6,5.4,7.5,10.8,8.0,6.6,6.9,5.4,6.2,6.6,5.1,6.1,5.3,6.3,8.1,6.0,4.1,6.1,6.5,5.4,4.8,4.4,5.3,5.1,5.4,5.2,6.2,5.0,4.6,4.5,4.9,4.1,5.6,4.9,4.6,4.8,4.6,5.1,5.2,5.9,4.4,6.5,4.9,4.7,5.2,5.5,4.2,5.5,5.8,5.4,4.9,4.6,5.0,5.2,4.7,4.6,4.1,4.8,5.1,4.0,4.9
1,39.5,25.1,24.5,24.7,24.9,12.2,20.8,13.5,16.5,15.2,13.5,15.3,15.5,17.4,14.2,10.2,11.1,8.4,10.3,8.0,8.9,11.3,10.1,15.4,8.2,6.6,9.0,7.1,6.7,11.6,9.0,7.2,5.9,6.8,8.4,7.8,5.5,7.8,10.0,7.6,5.7,7.2,7.3,5.7,6.8,5.4,5.9,5.7,5.2,6.4,4.9,6.3,5.6,5.7,7.0,4.0,5.5,6.2,5.3,6.1,5.5,6.0,6.9,4.9,4.9,6.3,4.5,5.5,5.6,5.2,5.0,4.5,6.4,4.9,5.1,5.2,5.1,5.1,4.2,3.9,5.2,5.8,4.2,5.2,5.1,5.1,3.7,5.8,4.6,4.1,5.3,5.0,4.6,4.2,4.2,5.1,4.7,4.4,5.7,5.3
2,27.3,32.2,27.9,26.4,24.6,23.4,19.9,21.1,16.3,16.6,15.6,15.2,14.6,12.0,11.1,11.7,9.8,9.4,11.3,10.7,10.9,9.8,9.0,10.4,10.1,7.1,8.2,9.0,9.3,7.6,8.6,8.4,7.2,10.7,10.6,5.5,8.1,8.2,6.7,7.7,9.2,7.9,6.7,6.2,6.3,7.9,7.3,5.4,6.1,5.4,7.7,6.6,7.8,5.8,5.8,6.9,6.5,5.6,5.4,6.9,4.9,4.5,5.2,5.7,5.3,5.9,5.2,5.0,4.4,5.1,5.2,4.6,5.6,5.5,5.3,4.9,6.1,6.2,4.6,4.2,4.8,4.2,5.3,5.1,4.9,5.1,3.6,5.3,4.9,4.1,3.9,4.2,4.1,5.7,3.8,4.6,4.4,4.2,4.6,4.7
3,36.1,31.0,28.6,24.5,22.3,20.0,19.7,20.6,16.2,18.3,12.5,16.1,17.6,13.4,14.3,15.4,12.2,11.5,15.9,12.7,13.0,8.4,12.0,8.8,8.9,7.9,10.2,11.0,9.3,8.8,10.1,8.9,6.9,8.0,8.9,6.3,6.3,9.3,8.5,6.1,7.1,6.8,7.9,7.7,6.0,6.1,10.3,5.8,6.2,6.4,8.3,6.3,7.4,7.2,6.3,6.9,6.8,5.4,6.5,6.2,5.4,5.3,8.8,5.4,4.9,4.7,5.0,5.1,7.1,5.0,5.5,5.7,5.4,5.0,5.5,5.3,5.7,5.3,6.3,5.4,5.5,5.2,5.3,6.1,5.5,4.7,5.4,4.7,5.5,5.0,5.0,5.9,4.3,4.5,4.7,4.4,5.5,4.7,4.6,4.3
4,35.5,27.1,30.0,26.8,25.7,20.1,21.6,15.8,20.4,17.7,18.9,21.5,11.6,18.7,12.8,13.6,12.1,15.7,13.6,9.3,13.5,13.0,11.0,12.9,9.6,8.0,11.7,9.9,9.4,10.7,7.7,9.3,10.3,7.7,7.9,6.9,8.4,9.5,6.9,7.3,9.1,8.3,5.8,6.8,7.7,7.9,8.3,6.7,9.2,7.4,6.0,6.9,7.5,6.4,6.3,7.0,6.1,5.9,5.0,5.6,6.3,5.2,5.0,5.0,5.3,5.6,6.0,8.1,6.1,5.7,5.3,6.5,6.4,5.9,6.9,5.1,5.8,5.4,4.8,5.1,4.4,5.2,6.1,3.7,5.0,5.1,5.2,5.8,5.7,5.4,4.0,5.1,5.1,5.3,6.0,4.7,5.4,4.4,4.7,5.3
