,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.4773929480693363,0.6944823714555287,0.773682830206172,0.8690841474750457,0.704179501166698,0.6285839391145388,0.8499997538037224,0.8364755703894042,0.7479166766624596,0.904951481372453,0.9032812941732102,0.9300515078844294,0.9339707266281259,0.8313400796155278,0.8881170475445572,0.9275911019319144,0.9175135773617903,0.9392994312826994,0.9180513426591521,0.863413817431276,0.9357764768092947,0.9542921095537075,0.9296036970668871,0.9557289936751298,0.9224791315857953,0.8863803364713994,0.9619723604360445,0.9558242582924381,0.9405669715074136,0.9670913175892373,0.9696897938101753,0.9648423973991574,0.963649862760937,0.9575479164162868,0.9631969602133861,0.9354706289583893,0.9727346746680364,0.9653148318505158,0.9736384294425479,0.9672205193132104,0.9748437340804366,0.9601270441343634,0.9320052545314466,0.8983268095285611,0.9691760896164539,0.9705965291374248,0.9792514072330507,0.9782086749154244,0.9688777098614787,0.9737943647695808,0.9785791943692796,0.9801528538631847,0.9723800861935,0.8964005330748955,0.9747327709270197,0.9800887974151404,0.9761382007985084,0.9783198029920431,0.9822784852532326,0.9842750462660463,0.9794529731391328,0.9820038603472458,0.9787590215930605,0.9778183553717342,0.9772522860687539,0.9731662784158038,0.976964633799758,0.9813316512201299,0.9849458866088205,0.9819390388820031,0.9869541494464331,0.9759275573875215,0.982274820850628,0.9846362104132901,0.9791417450173885,0.9868962288849591,0.9863780285061365,0.9788454121977029,0.978553506259144,0.9834491696037482,0.9757426153962669,0.9870839810713947,0.9859139503420691,0.9823052661105706,0.9867338111308948,0.9868144722870976,0.9798068438498195,0.9775225950409997,0.9870205371305962,0.9881695887919214,0.9891382631621376,0.9859549358473977,0.9883369974583684,0.9864850085616552,0.9879284348004459,0.9848079851294793,0.9799694654480788,0.9806597991581552,0.9846790064861765,0.9886861135456826
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
