,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,99.0,95.6,99.0,94.2,99.0,99.0,99.0,99.0,98.6,99.0,98.8,99.0,93.2,98.8,99.0,99.0,99.0,94.0,99.0,99.0,99.0,92.5,99.0,99.0,99.0,99.0,96.2,99.0,94.8,99.0,99.0,96.6,98.8,95.6,99.0,99.0,98.9,98.9,98.7,98.4,98.3,98.7,98.5,98.2,99.0,99.0,96.6,97.5,98.5,98.5,88.2,96.3,97.3,98.3,99.0,99.0,94.1,99.0,98.7,97.8,99.0,99.0,91.2,98.6,99.0,98.4,97.2,97.6,93.4,94.6,94.6,98.6,95.0,93.4,94.8,98.5,93.1,96.6,94.8,97.4,97.7,94.8,99.0,98.9,97.8,96.6,93.5,96.4,88.6,95.5,90.7,97.9,99.0,96.0,99.0,96.5,95.3,98.9,99.0,97.9
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
