,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98.6,99.0,99.0,99.0,99.0,95.1,99.0,99.0,99.0,99.0,99.0,98.9,98.8,99.0,96.8,98.5,99.0,99.0,97.9,99.0,99.0,98.9,99.0,98.6,97.1,99.0,96.6,97.1,98.2,97.3,94.5,94.7,98.9,97.2,94.2,99.0,98.5,95.7,98.9,97.3,94.2,91.6,98.8,99.0,98.6,98.6,98.4,99.0,99.0,98.3,99.0,96.4,97.0,94.5,92.3,93.3,95.1,95.0,99.0,98.4,98.2,99.0,97.8,92.8,97.2,99.0,98.9,98.0,99.0,95.5,97.9,96.1,98.5,96.7,99.0,99.0,96.7,94.8,97.0,97.4,97.5,96.3,94.4,94.1,95.7,95.6,97.6,92.2,99.0,94.7,97.6,99.0,93.6,99.0,96.6,96.9,91.6,93.2,97.9,95.7
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
