,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4974794174441339,0.5529290733127383,0.6185886350589388,0.46617181257641116,0.4398326561684295,0.5850185633007201,0.662416359840931,0.4721860955700987,0.6593578027984985,0.5736105952449976,0.5776584476846078,0.7168577954725638,0.6500403519607422,0.5748629426388815,0.6115256793750423,0.623080431185148,0.6136942473623268,0.6444638412018173,0.6915316795570298,0.4625746182197609,0.6037139574627081,0.550540330114468,0.5572310759220162,0.6873114598622705,0.6837834251070627,0.5231898019189606,0.6324607987393595,0.7751776915134064,0.7367474054732359,0.6862039369780442,0.7091484368558874,0.5454389830603222,0.7217454419803785,0.7149037783344281,0.6930466777095223,0.6001926622489955,0.7194670203823719,0.7395081019230899,0.7463867881467796,0.6375936373639062,0.6973366377487558,0.7848135251632622,0.6184682642019854,0.7086891513729041,0.7825438348013056,0.6161440404328998,0.8157454110619696,0.6230701256430091,0.5256107131431376,0.6128194374144977,0.7756822878107256,0.7669880302199025,0.6276389711164001,0.818248716851288,0.6998429578410452,0.8186698079143941,0.9139733786642067,0.7126833143159191,0.5934129194183468,0.6456410463598664,0.8862878216470286,0.6338613730538178,0.7069174484690078,0.795993991997072,0.8025262857551765,0.6014016873476433,0.7077998954246205,0.6452333921440836,0.730369742122354,0.691196013900394,0.7521483861142559,0.7864454384190674,0.6896103037742518,0.7122903228933701,0.7167537571790982,0.5510715222194553,0.8060870478931456,0.8680827492180196,0.6569376381475485,0.8618358078053514,0.796268979875313,0.7755377640099684,0.7156219265849642,0.8803394003863687,0.6678379046383929,0.7676289924110768,0.6367849056620813,0.795900607742154,0.8302289372148458,0.7194196050753012,0.71760164658182,0.7847656747495373,0.7403634841109625,0.7204098880927137,0.7812869896447289,0.7997320933283076,0.7977000198697204,0.81807311455523,0.7278635579200544,0.9315865836407624
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
