,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.46444898240953425,0.6593320023066387,0.6928893819408193,0.6598910026596513,0.580855112159708,0.6363820511184255,0.6609627919198913,0.6900017459300714,0.5810027529124493,0.5234703649712914,0.593481306198478,0.6791859199337456,0.6807247443970669,0.6733080169016168,0.6352262975474965,0.47416965407551637,0.5586426255277623,0.7490855071598095,0.6817749091146627,0.6739042298669856,0.6482708449241226,0.6335778340563809,0.7067717392342151,0.5662694873717106,0.5916049240156951,0.5492251962799817,0.7334740629122753,0.5395845843921595,0.5859521724539686,0.6773637918443816,0.6469692796299361,0.7180488434664976,0.784001055982763,0.7448901775576199,0.5736530587104108,0.6721933325126016,0.6665783655305064,0.5390198854120914,0.6623241982862208,0.6723118030660729,0.7767107424668951,0.5179045525711318,0.7032659019841272,0.801027224522241,0.6291955735453498,0.6599865978583783,0.5869978046645963,0.7383489067480669,0.48635903778150624,0.7067266595558477,0.722790117061562,0.7120741130211518,0.5563660686044392,0.5657841346969186,0.7527131774154953,0.6170242110888153,0.7147772342740478,0.7204533978873154,0.5454200452677582,0.8099499134177094,0.6815368721903143,0.6565462335769178,0.8246062742154866,0.6640354046014783,0.7839463130808618,0.8694629600460297,0.7340210921694214,0.54545437869072,0.6813897441264252,0.7092498997637751,0.7773894283478895,0.7253456937591224,0.8768715200937116,0.7208714964118526,0.7748550658740401,0.7854522979883982,0.6874233028716804,0.8089958991626391,0.7912441352091747,0.6256755765129195,0.7096017615803623,0.7366868901337995,0.572785215972723,0.7407599993056107,0.7556929777050103,0.7346083907564941,0.6991476711112509,0.746045209307378,0.8441622682881347,0.8205701601558621,0.7496620485466694,0.6817696878994981,0.6961984901561298,0.7815828868698935,0.5716302491471692,0.839144643096915,0.8844461008840782,0.8759146799207983,0.8394647325966822,0.8338413074565072
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
