,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.4738220661726354,0.508592175130746,0.490938639313289,0.58322328865557,0.7483607537156434,0.8121008959989038,0.8389257550433451,0.8671073322858073,0.8839329113927841,0.9027126037654305,0.9039849194098386,0.910500469921365,0.9185658055565454,0.9300043290501605,0.9315304293570476,0.933365808467322,0.9392546266093754,0.9438526796552779,0.9488150054536819,0.9495869774593124,0.9540604335876921,0.9552675289487509,0.9562348322870335,0.9563928749057464,0.9585885842328519,0.9637073941892373,0.9616526703059884,0.9633523200438765,0.9662431588163967,0.9664257201775065,0.9680124708805524,0.9699443052788791,0.9690906373226225,0.9708984884709553,0.9717479432694948,0.9729231762320245,0.9732949588190186,0.9736633524404054,0.97504030484723,0.9753366720769302,0.9753377518409341,0.9760424125713232,0.9773523106649092,0.9776390160595353,0.9783888029118968,0.9783818891503063,0.979321095622695,0.9795246883738734,0.9807134628124985,0.9812233112184211,0.9801178750341142,0.9810994272406317,0.9814610232875302,0.9818095791434527,0.9824052164433121,0.9824626176353544,0.9833066627265792,0.982798316933261,0.9828756958593724,0.9838848149954179,0.983475496150745,0.9839885261578394,0.9839117908781297,0.9847035009887228,0.9851050935287375,0.9859018844789418,0.985187775552206,0.9857908010893766,0.9858090532232344,0.9856567165838257,0.9863909909092765,0.986586210483528,0.9867756735468246,0.986597444561079,0.9869561239156639,0.9868060074808817,0.98745918801293,0.9871644031513567,0.987774912224082,0.987503672784495,0.9882158353787748,0.9880843434581085,0.9885202780718035,0.988366473701028,0.9889693705318413,0.9881748289428947,0.9886309802756701,0.9886400097351806,0.9887919583303038,0.989156347998831,0.9893906463979965,0.9896321051924397,0.9892679709257,0.9898538515992582,0.9897273538623722,0.9898351940468201,0.9899407256672472,0.9902836135747087,0.9901426988285307,0.9902419913079676
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
