,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.44052672846132906,0.49759416669657164,0.6201829057051435,0.5528883519320481,0.6620543343813053,0.6402847776231948,0.647024997550568,0.5818078487728289,0.6425936572098309,0.4140326179708075,0.653109527405718,0.6828799261064799,0.5618991857547985,0.6348853003864028,0.6374962585008964,0.6934258429309019,0.7358311226218596,0.814389813833186,0.5819112843645925,0.5466884698298443,0.6823690038583943,0.570585103068882,0.6368671542193349,0.7181672389766114,0.6886493052178339,0.5376202844852072,0.6365721094116459,0.7182035479201041,0.6043090988103583,0.5915271464472246,0.6572791135942467,0.6585279687100223,0.6211547472997687,0.7078523985560315,0.7451836670243056,0.5794042282780352,0.6527418900874509,0.732451391068941,0.6025535563421404,0.6015958943824068,0.6131405123955623,0.6660560739777464,0.7301622050323643,0.584054474732049,0.6575500229792295,0.7683021169389951,0.6185525725105185,0.6711863725282917,0.7739449689757996,0.5488375746458741,0.7035635531872925,0.6851188589180272,0.7224729826253287,0.5631441152738039,0.7754857152116152,0.8356719209101474,0.6445912930499426,0.7177473404131358,0.8372769482131124,0.7468492405390863,0.6685314002865609,0.6388096622462588,0.8955921989296642,0.838037682139104,0.5376194373633695,0.6886102462259955,0.75911514693208,0.6530103333993716,0.49253469732055066,0.7266210498084964,0.8669397355195949,0.810293501378843,0.8039961369977023,0.7556812888190144,0.7949864785196625,0.6759377532498417,0.7276394346265347,0.8065015390605377,0.7872761947394264,0.7242583179672739,0.7578291753363912,0.8267902984913762,0.7179459725537137,0.858699334147947,0.6706098206859701,0.8453970388356506,0.8154207293826239,0.7336897120367165,0.765482835923547,0.8296419762058536,0.6235545361143071,0.786613734944843,0.6672556878462113,0.6865343581132469,0.7228882396181073,0.8182027675410776,0.7500518914346157,0.7207529786850164,0.8434645117528939,0.7432000125790778
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
