,run,item,D1,D2,D3,D4
0,0,0,1.0,0.0,1.0,1.0
1,0,1,1.0,0.0,1.0,0.0
2,0,2,1.0,0.0,1.0,0.0
3,0,3,1.0,0.0,1.0,1.0
4,0,4,1.0,0.0,1.0,1.0
5,0,5,1.0,0.0,1.0,1.0
6,0,6,1.0,0.0,1.0,1.0
7,0,7,1.0,0.0,1.0,1.0
8,0,8,0.0,0.0,1.0,1.0
9,0,9,1.0,0.0,1.0,1.0
10,0,10,0.0,0.0,1.0,1.0
11,0,11,0.0,0.0,1.0,1.0
12,0,12,1.0,0.0,1.0,1.0
13,0,13,1.0,0.0,1.0,1.0
14,0,14,0.0,0.0,1.0,1.0
15,0,15,0.0,0.0,1.0,1.0
16,1,0,1.0,0.0,1.0,0.0
17,1,1,1.0,0.0,1.0,0.0
18,1,2,0.0,1.0,1.0,1.0
19,1,3,0.0,1.0,1.0,1.0
20,1,4,1.0,0.0,1.0,1.0
21,1,5,1.0,1.0,1.0,1.0
22,1,6,1.0,0.0,1.0,1.0
23,1,7,0.0,1.0,1.0,1.0
24,1,8,0.0,1.0,1.0,0.0
25,1,9,0.0,1.0,1.0,1.0
26,1,10,0.0,1.0,1.0,0.0
27,1,11,0.0,1.0,0.0,1.0
28,1,12,1.0,0.0,1.0,1.0
29,1,13,0.0,1.0,1.0,1.0
30,1,14,0.0,1.0,1.0,1.0
31,1,15,0.0,1.0,1.0,1.0
32,2,0,1.0,0.0,1.0,0.0
33,2,1,1.0,0.0,1.0,0.0
34,2,2,1.0,0.0,1.0,0.0
35,2,3,1.0,0.0,1.0,1.0
36,2,4,1.0,0.0,1.0,1.0
37,2,5,1.0,0.0,1.0,1.0
38,2,6,1.0,0.0,0.0,1.0
39,2,7,1.0,0.0,1.0,1.0
40,2,8,1.0,0.0,1.0,0.0
41,2,9,1.0,0.0,1.0,1.0
42,2,10,1.0,0.0,1.0,1.0
43,2,11,0.0,0.0,1.0,1.0
44,2,12,1.0,0.0,0.0,1.0
45,2,13,1.0,0.0,1.0,1.0
46,2,14,1.0,0.0,1.0,1.0
47,2,15,1.0,0.0,1.0,0.0
48,3,0,1.0,0.0,1.0,0.0
49,3,1,1.0,0.0,1.0,0.0
50,3,2,1.0,0.0,0.0,1.0
51,3,3,1.0,0.0,1.0,1.0
52,3,4,1.0,0.0,1.0,1.0
53,3,5,1.0,0.0,1.0,1.0
54,3,6,1.0,0.0,0.0,1.0
55,3,7,1.0,0.0,1.0,1.0
56,3,8,1.0,0.0,1.0,0.0
57,3,9,1.0,0.0,1.0,1.0
58,3,10,0.0,0.0,1.0,1.0
59,3,11,1.0,0.0,1.0,0.0
60,3,12,1.0,0.0,1.0,1.0
61,3,13,1.0,0.0,1.0,1.0
62,3,14,0.0,0.0,1.0,1.0
63,3,15,1.0,0.0,1.0,0.0
64,4,0,1.0,0.0,1.0,0.0
65,4,1,1.0,0.0,1.0,1.0
66,4,2,1.0,1.0,1.0,0.0
67,4,3,0.0,1.0,1.0,1.0
68,4,4,1.0,1.0,0.0,1.0
69,4,5,1.0,1.0,1.0,0.0
70,4,6,1.0,0.0,0.0,1.0
71,4,7,1.0,1.0,0.0,0.0
72,4,8,1.0,0.0,0.0,1.0
73,4,9,1.0,0.0,1.0,1.0
74,4,10,1.0,1.0,1.0,0.0
75,4,11,0.0,1.0,0.0,1.0
76,4,12,1.0,0.0,0.0,1.0
77,4,13,1.0,1.0,0.0,1.0
78,4,14,1.0,1.0,0.0,0.0
79,4,15,0.0,1.0,1.0,1.0
80,5,0,1.0,0.0,0.0,0.0
81,5,1,1.0,0.0,1.0,0.0
82,5,2,1.0,0.0,1.0,0.0
83,5,3,1.0,0.0,0.0,1.0
84,5,4,1.0,0.0,1.0,1.0
85,5,5,1.0,0.0,1.0,1.0
86,5,6,1.0,0.0,1.0,1.0
87,5,7,1.0,0.0,1.0,1.0
88,5,8,0.0,0.0,1.0,1.0
89,5,9,1.0,0.0,1.0,1.0
90,5,10,1.0,0.0,1.0,1.0
91,5,11,1.0,0.0,1.0,0.0
92,5,12,1.0,0.0,0.0,1.0
93,5,13,1.0,0.0,1.0,0.0
94,5,14,1.0,0.0,1.0,1.0
95,5,15,1.0,0.0,0.0,1.0
96,6,0,1.0,0.0,1.0,0.0
97,6,1,1.0,0.0,1.0,0.0
98,6,2,1.0,0.0,1.0,0.0
99,6,3,1.0,0.0,1.0,1.0
100,6,4,1.0,0.0,1.0,1.0
101,6,5,1.0,0.0,1.0,1.0
102,6,6,1.0,0.0,1.0,1.0
103,6,7,1.0,0.0,1.0,0.0
104,6,8,1.0,0.0,1.0,0.0
105,6,9,1.0,0.0,1.0,1.0
106,6,10,1.0,0.0,1.0,1.0
107,6,11,1.0,0.0,1.0,0.0
108,6,12,1.0,0.0,1.0,1.0
109,6,13,1.0,0.0,1.0,0.0
110,6,14,1.0,0.0,1.0,1.0
111,6,15,1.0,0.0,1.0,0.0
112,7,0,1.0,0.0,1.0,0.0
113,7,1,1.0,0.0,1.0,0.0
114,7,2,1.0,0.0,1.0,0.0
115,7,3,1.0,0.0,0.0,1.0
116,7,4,1.0,0.0,1.0,1.0
117,7,5,1.0,0.0,1.0,1.0
118,7,6,1.0,0.0,0.0,1.0
119,7,7,1.0,0.0,1.0,1.0
120,7,8,1.0,0.0,1.0,0.0
121,7,9,1.0,0.0,1.0,1.0
122,7,10,0.0,0.0,1.0,1.0
123,7,11,1.0,0.0,1.0,0.0
124,7,12,1.0,0.0,1.0,1.0
125,7,13,1.0,0.0,1.0,0.0
126,7,14,1.0,0.0,1.0,1.0
127,7,15,1.0,0.0,1.0,0.0
128,8,0,1.0,0.0,1.0,0.0
129,8,1,1.0,0.0,1.0,1.0
130,8,2,0.0,0.0,1.0,1.0
131,8,3,0.0,1.0,1.0,1.0
132,8,4,1.0,0.0,1.0,1.0
133,8,5,0.0,1.0,1.0,1.0
134,8,6,1.0,1.0,0.0,1.0
135,8,7,1.0,0.0,1.0,0.0
136,8,8,0.0,1.0,1.0,0.0
137,8,9,0.0,1.0,1.0,0.0
138,8,10,0.0,1.0,1.0,0.0
139,8,11,1.0,0.0,1.0,0.0
140,8,12,1.0,0.0,1.0,1.0
141,8,13,1.0,0.0,1.0,0.0
142,8,14,0.0,0.0,1.0,1.0
143,8,15,0.0,1.0,1.0,1.0
144,9,0,1.0,0.0,1.0,0.0
145,9,1,1.0,0.0,1.0,0.0
146,9,2,1.0,0.0,1.0,0.0
147,9,3,1.0,0.0,1.0,1.0
148,9,4,1.0,0.0,1.0,1.0
149,9,5,1.0,0.0,1.0,1.0
150,9,6,1.0,0.0,1.0,1.0
151,9,7,1.0,0.0,1.0,0.0
152,9,8,1.0,0.0,1.0,0.0
153,9,9,1.0,0.0,1.0,1.0
154,9,10,1.0,0.0,1.0,1.0
155,9,11,1.0,0.0,1.0,0.0
156,9,12,1.0,0.0,1.0,1.0
157,9,13,1.0,0.0,1.0,0.0
158,9,14,1.0,0.0,1.0,1.0
159,9,15,1.0,0.0,1.0,0.0
160,10,0,1.0,0.0,1.0,0.0
161,10,1,1.0,0.0,1.0,0.0
162,10,2,1.0,0.0,1.0,0.0
163,10,3,1.0,0.0,1.0,1.0
164,10,4,1.0,0.0,1.0,1.0
165,10,5,1.0,0.0,1.0,1.0
166,10,6,1.0,0.0,1.0,1.0
167,10,7,1.0,0.0,1.0,0.0
168,10,8,1.0,0.0,1.0,0.0
169,10,9,1.0,0.0,1.0,1.0
170,10,10,0.0,0.0,1.0,1.0
171,10,11,1.0,0.0,0.0,1.0
172,10,12,1.0,0.0,1.0,1.0
173,10,13,1.0,0.0,1.0,0.0
174,10,14,1.0,0.0,1.0,1.0
175,10,15,1.0,0.0,1.0,0.0
176,11,0,1.0,0.0,1.0,0.0
177,11,1,1.0,0.0,1.0,0.0
178,11,2,1.0,0.0,0.0,0.0
179,11,3,1.0,0.0,1.0,1.0
180,11,4,1.0,0.0,1.0,1.0
181,11,5,1.0,0.0,1.0,1.0
182,11,6,1.0,0.0,1.0,1.0
183,11,7,1.0,0.0,1.0,1.0
184,11,8,1.0,0.0,0.0,1.0
185,11,9,1.0,0.0,1.0,1.0
186,11,10,1.0,0.0,1.0,1.0
187,11,11,1.0,0.0,1.0,0.0
188,11,12,1.0,0.0,0.0,1.0
189,11,13,1.0,0.0,1.0,1.0
190,11,14,1.0,0.0,1.0,1.0
191,11,15,0.0,0.0,1.0,1.0
192,12,0,1.0,0.0,1.0,0.0
193,12,1,1.0,0.0,1.0,0.0
194,12,2,1.0,0.0,1.0,0.0
195,12,3,1.0,0.0,1.0,1.0
196,12,4,1.0,1.0,1.0,1.0
197,12,5,0.0,0.0,1.0,1.0
198,12,6,1.0,1.0,1.0,1.0
199,12,7,1.0,0.0,1.0,1.0
200,12,8,0.0,0.0,1.0,1.0
201,12,9,1.0,0.0,1.0,1.0
202,12,10,1.0,0.0,1.0,1.0
203,12,11,1.0,1.0,1.0,0.0
204,12,12,1.0,1.0,1.0,0.0
205,12,13,1.0,0.0,1.0,0.0
206,12,14,0.0,0.0,1.0,1.0
207,12,15,0.0,0.0,1.0,1.0
208,13,0,1.0,0.0,1.0,1.0
209,13,1,0.0,1.0,1.0,0.0
210,13,2,0.0,0.0,1.0,0.0
211,13,3,1.0,0.0,1.0,1.0
212,13,4,1.0,1.0,1.0,1.0
213,13,5,0.0,0.0,1.0,1.0
214,13,6,1.0,1.0,1.0,1.0
215,13,7,1.0,0.0,1.0,0.0
216,13,8,1.0,0.0,1.0,0.0
217,13,9,1.0,0.0,1.0,1.0
218,13,10,1.0,0.0,1.0,1.0
219,13,11,1.0,1.0,1.0,0.0
220,13,12,0.0,1.0,1.0,0.0
221,13,13,1.0,0.0,1.0,0.0
222,13,14,1.0,0.0,1.0,1.0
223,13,15,1.0,0.0,1.0,0.0
224,14,0,1.0,0.0,1.0,1.0
225,14,1,1.0,1.0,0.0,0.0
226,14,2,1.0,0.0,1.0,0.0
227,14,3,1.0,1.0,1.0,1.0
228,14,4,1.0,0.0,1.0,1.0
229,14,5,1.0,1.0,1.0,1.0
230,14,6,1.0,0.0,1.0,1.0
231,14,7,1.0,0.0,1.0,0.0
232,14,8,1.0,0.0,1.0,0.0
233,14,9,1.0,1.0,0.0,0.0
234,14,10,1.0,1.0,1.0,0.0
235,14,11,1.0,0.0,1.0,0.0
236,14,12,1.0,0.0,1.0,1.0
237,14,13,1.0,0.0,1.0,0.0
238,14,14,1.0,0.0,1.0,1.0
239,14,15,1.0,0.0,1.0,0.0
240,15,0,0.0,0.0,1.0,0.0
241,15,1,0.0,0.0,1.0,0.0
242,15,2,1.0,0.0,0.0,1.0
243,15,3,1.0,0.0,0.0,1.0
244,15,4,1.0,0.0,1.0,1.0
245,15,5,1.0,0.0,1.0,1.0
246,15,6,1.0,1.0,1.0,1.0
247,15,7,1.0,0.0,1.0,0.0
248,15,8,1.0,0.0,0.0,1.0
249,15,9,1.0,0.0,1.0,1.0
250,15,10,1.0,0.0,0.0,0.0
251,15,11,1.0,0.0,1.0,0.0
252,15,12,1.0,1.0,1.0,1.0
253,15,13,1.0,0.0,1.0,0.0
254,15,14,1.0,0.0,1.0,1.0
255,15,15,1.0,0.0,1.0,0.0
256,16,0,1.0,0.0,1.0,0.0
257,16,1,1.0,0.0,1.0,0.0
258,16,2,0.0,1.0,1.0,1.0
259,16,3,0.0,1.0,0.0,1.0
260,16,4,1.0,1.0,0.0,1.0
261,16,5,0.0,0.0,1.0,1.0
262,16,6,1.0,0.0,1.0,1.0
263,16,7,0.0,1.0,1.0,0.0
264,16,8,0.0,0.0,1.0,1.0
265,16,9,0.0,1.0,1.0,0.0
266,16,10,0.0,0.0,1.0,1.0
267,16,11,1.0,0.0,1.0,0.0
268,16,12,1.0,0.0,1.0,1.0
269,16,13,0.0,1.0,0.0,1.0
270,16,14,1.0,0.0,1.0,1.0
271,16,15,0.0,1.0,1.0,1.0
272,17,0,1.0,0.0,1.0,1.0
273,17,1,1.0,0.0,1.0,0.0
274,17,2,1.0,0.0,1.0,0.0
275,17,3,1.0,0.0,0.0,1.0
276,17,4,0.0,0.0,1.0,1.0
277,17,5,1.0,0.0,1.0,1.0
278,17,6,1.0,0.0,0.0,1.0
279,17,7,1.0,0.0,1.0,0.0
280,17,8,0.0,0.0,1.0,1.0
281,17,9,1.0,0.0,1.0,1.0
282,17,10,1.0,0.0,1.0,1.0
283,17,11,0.0,0.0,1.0,1.0
284,17,12,1.0,0.0,1.0,1.0
285,17,13,1.0,0.0,1.0,1.0
286,17,14,1.0,0.0,1.0,1.0
287,17,15,0.0,0.0,1.0,1.0
288,18,0,1.0,0.0,1.0,0.0
289,18,1,1.0,0.0,0.0,0.0
290,18,2,1.0,0.0,1.0,0.0
291,18,3,1.0,1.0,0.0,0.0
292,18,4,1.0,0.0,1.0,1.0
293,18,5,1.0,0.0,0.0,0.0
294,18,6,1.0,0.0,1.0,1.0
295,18,7,1.0,0.0,1.0,0.0
296,18,8,1.0,0.0,0.0,1.0
297,18,9,1.0,0.0,1.0,1.0
298,18,10,1.0,0.0,1.0,1.0
299,18,11,1.0,0.0,0.0,0.0
300,18,12,1.0,0.0,1.0,1.0
301,18,13,1.0,0.0,1.0,0.0
302,18,14,1.0,0.0,1.0,1.0
303,18,15,0.0,0.0,1.0,1.0
304,19,0,1.0,0.0,1.0,0.0
305,19,1,1.0,0.0,1.0,0.0
306,19,2,1.0,0.0,1.0,0.0
307,19,3,0.0,1.0,0.0,1.0
308,19,4,1.0,1.0,0.0,1.0
309,19,5,1.0,0.0,1.0,1.0
310,19,6,1.0,0.0,1.0,1.0
311,19,7,1.0,1.0,0.0,1.0
312,19,8,0.0,0.0,1.0,1.0
313,19,9,0.0,1.0,1.0,0.0
314,19,10,0.0,0.0,1.0,1.0
315,19,11,1.0,0.0,1.0,0.0
316,19,12,1.0,0.0,1.0,1.0
317,19,13,1.0,1.0,0.0,1.0
318,19,14,1.0,1.0,1.0,1.0
319,19,15,0.0,1.0,1.0,1.0
320,20,0,1.0,0.0,1.0,0.0
321,20,1,0.0,1.0,1.0,0.0
322,20,2,1.0,0.0,1.0,0.0
323,20,3,0.0,1.0,0.0,1.0
324,20,4,0.0,1.0,0.0,1.0
325,20,5,1.0,1.0,1.0,1.0
326,20,6,1.0,1.0,0.0,1.0
327,20,7,0.0,1.0,1.0,0.0
328,20,8,0.0,0.0,1.0,1.0
329,20,9,0.0,1.0,1.0,0.0
330,20,10,1.0,0.0,1.0,1.0
331,20,11,0.0,1.0,0.0,1.0
332,20,12,0.0,1.0,1.0,0.0
333,20,13,0.0,1.0,1.0,1.0
334,20,14,1.0,0.0,1.0,1.0
335,20,15,1.0,1.0,0.0,1.0
336,21,0,1.0,0.0,1.0,1.0
337,21,1,1.0,0.0,1.0,1.0
338,21,2,1.0,0.0,1.0,0.0
339,21,3,1.0,0.0,1.0,1.0
340,21,4,1.0,0.0,1.0,1.0
341,21,5,1.0,0.0,1.0,1.0
342,21,6,1.0,0.0,1.0,1.0
343,21,7,1.0,0.0,1.0,0.0
344,21,8,1.0,0.0,1.0,0.0
345,21,9,1.0,0.0,0.0,1.0
346,21,10,1.0,0.0,1.0,1.0
347,21,11,1.0,0.0,0.0,1.0
348,21,12,0.0,0.0,1.0,0.0
349,21,13,1.0,0.0,1.0,1.0
350,21,14,1.0,0.0,1.0,1.0
351,21,15,0.0,0.0,1.0,1.0
352,22,0,1.0,0.0,1.0,0.0
353,22,1,1.0,0.0,1.0,1.0
354,22,2,1.0,0.0,1.0,0.0
355,22,3,0.0,1.0,1.0,1.0
356,22,4,1.0,0.0,1.0,1.0
357,22,5,1.0,0.0,1.0,1.0
358,22,6,1.0,0.0,0.0,1.0
359,22,7,0.0,1.0,1.0,0.0
360,22,8,1.0,0.0,1.0,0.0
361,22,9,1.0,0.0,1.0,1.0
362,22,10,1.0,0.0,1.0,1.0
363,22,11,1.0,0.0,1.0,0.0
364,22,12,1.0,0.0,1.0,1.0
365,22,13,1.0,0.0,1.0,1.0
366,22,14,1.0,0.0,1.0,1.0
367,22,15,0.0,0.0,1.0,1.0
368,23,0,1.0,1.0,1.0,1.0
369,23,1,1.0,0.0,1.0,1.0
370,23,2,1.0,0.0,1.0,0.0
371,23,3,1.0,0.0,0.0,1.0
372,23,4,0.0,0.0,1.0,1.0
373,23,5,1.0,0.0,1.0,1.0
374,23,6,1.0,0.0,1.0,1.0
375,23,7,1.0,0.0,1.0,0.0
376,23,8,1.0,0.0,0.0,1.0
377,23,9,1.0,0.0,1.0,1.0
378,23,10,1.0,0.0,1.0,1.0
379,23,11,1.0,0.0,1.0,0.0
380,23,12,1.0,0.0,1.0,1.0
381,23,13,1.0,0.0,1.0,0.0
382,23,14,1.0,0.0,1.0,1.0
383,23,15,1.0,0.0,1.0,0.0
384,24,0,1.0,0.0,1.0,1.0
385,24,1,1.0,0.0,1.0,0.0
386,24,2,1.0,0.0,1.0,0.0
387,24,3,1.0,0.0,0.0,1.0
388,24,4,1.0,0.0,1.0,1.0
389,24,5,1.0,0.0,1.0,1.0
390,24,6,1.0,0.0,1.0,1.0
391,24,7,1.0,0.0,1.0,0.0
392,24,8,0.0,0.0,1.0,1.0
393,24,9,1.0,0.0,1.0,1.0
394,24,10,1.0,0.0,1.0,1.0
395,24,11,1.0,0.0,0.0,1.0
396,24,12,1.0,0.0,0.0,1.0
397,24,13,1.0,0.0,1.0,1.0
398,24,14,1.0,0.0,1.0,1.0
399,24,15,1.0,0.0,1.0,0.0
400,25,0,1.0,0.0,1.0,0.0
401,25,1,0.0,0.0,1.0,0.0
402,25,2,1.0,0.0,1.0,0.0
403,25,3,1.0,0.0,1.0,1.0
404,25,4,1.0,0.0,1.0,1.0
405,25,5,0.0,0.0,1.0,1.0
406,25,6,1.0,1.0,1.0,1.0
407,25,7,1.0,0.0,1.0,0.0
408,25,8,1.0,0.0,1.0,0.0
409,25,9,1.0,0.0,1.0,1.0
410,25,10,1.0,0.0,1.0,1.0
411,25,11,0.0,1.0,1.0,1.0
412,25,12,1.0,1.0,1.0,1.0
413,25,13,1.0,0.0,1.0,1.0
414,25,14,0.0,0.0,1.0,0.0
415,25,15,1.0,0.0,1.0,0.0
416,26,0,1.0,0.0,1.0,0.0
417,26,1,1.0,0.0,1.0,0.0
418,26,2,1.0,0.0,0.0,1.0
419,26,3,1.0,0.0,1.0,1.0
420,26,4,0.0,0.0,1.0,0.0
421,26,5,1.0,0.0,1.0,1.0
422,26,6,1.0,0.0,0.0,1.0
423,26,7,1.0,0.0,1.0,1.0
424,26,8,1.0,0.0,1.0,0.0
425,26,9,1.0,0.0,1.0,1.0
426,26,10,1.0,0.0,1.0,1.0
427,26,11,1.0,0.0,1.0,0.0
428,26,12,1.0,0.0,1.0,1.0
429,26,13,1.0,0.0,1.0,1.0
430,26,14,0.0,0.0,1.0,1.0
431,26,15,0.0,0.0,1.0,1.0
432,27,0,1.0,0.0,1.0,0.0
433,27,1,1.0,0.0,1.0,0.0
434,27,2,1.0,0.0,1.0,0.0
435,27,3,1.0,0.0,1.0,1.0
436,27,4,1.0,0.0,1.0,1.0
437,27,5,1.0,0.0,1.0,1.0
438,27,6,1.0,0.0,1.0,1.0
439,27,7,1.0,0.0,1.0,0.0
