,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.5030406249784958,0.6341584107019616,0.52661682612711,0.5897050747439646,0.5594133827702773,0.5968693367735836,0.6012321178220696,0.5285607815881744,0.7290357561916128,0.7796708763322279,0.6774194281339386,0.6829520645247149,0.7721398226340671,0.7209083613923302,0.5898681647338192,0.6952669640597471,0.8014093181849387,0.5045608793399212,0.583971310307102,0.6400881412501706,0.5687984958943101,0.6333464730432505,0.6750682254435088,0.5660050222224134,0.6928871455134399,0.6437264367657826,0.4640230779920793,0.622489428476922,0.5493778899407908,0.6191161198371442,0.7441213005701166,0.7648591051224605,0.6410523111818747,0.6964286652940931,0.6719470939754844,0.5875150403841133,0.7456307154810802,0.6927534226780814,0.5944210629512754,0.7071403010030527,0.5627518700133078,0.5853442786511946,0.7213845060996129,0.7122519729586754,0.8315525532797968,0.8143634007257237,0.5456970603767453,0.6559493749584795,0.6061156925983118,0.7555570034610303,0.7831245965243695,0.5964088910990025,0.6870937599600353,0.7295734800946321,0.6989917203229863,0.7821188603892387,0.6464313547699522,0.6949293562711583,0.7336006432414314,0.6101367325264782,0.6467614366844299,0.6091181731915046,0.6068901900147469,0.6310877369327004,0.6898210113501742,0.7294967444946712,0.6903039964366724,0.529931155769202,0.7436625470885957,0.7554382558599659,0.541863752893224,0.8310284187191408,0.826483040844845,0.8087730618227944,0.8084928895570451,0.736696737593572,0.6607800782207033,0.6932900611048796,0.7269631045624104,0.4144926811325445,0.6916405129476981,0.7801190204427161,0.6350882097313564,0.8321603364165927,0.7701111385701763,0.7543492225251751,0.6273163209380181,0.7463318327768723,0.8012857524304767,0.8180216563519718,0.8291768613229541,0.7363773300951036,0.7648956720057681,0.8690413724671865,0.941024201696138,0.7049188788055923,0.7705730324013923,0.73890600786983,0.7721910866501831,0.897040168414188
1,0.43655104230566255,0.5409722599509614,0.5847866878172733,0.758165777034325,0.6559243063084431,0.6823219445708666,0.7649292378353059,0.8871271619822474,0.7872841221061982,0.9120818566933246,0.8125397094101401,0.8742857845487657,0.9009490444106124,0.8447809074263919,0.8494573243284401,0.7390340219667212,0.9338090979255746,0.9195119571820192,0.9297241602532672,0.9173155190683459,0.9228744648012374,0.9364552233366424,0.9118204692094364,0.9067928999128736,0.9521872670646978,0.9530835392081054,0.9364001781210656,0.951109371922291,0.947098989011845,0.8747735622063446,0.937066447639078,0.9697174307784491,0.9609666384417294,0.8838268042453464,0.9633426985217806,0.960005328529854,0.9601133998507348,0.966411806211983,0.9462944268316232,0.9659935790411516,0.9556735057353214,0.9697701288224992,0.9778256349546748,0.9699506842422848,0.9532617446137228,0.9696907827881622,0.9717609662374406,0.9756614847172778,0.9643899242830941,0.9707877630539208,0.9758316603437368,0.9690638809250102,0.9707489216045762,0.9743977454913944,0.979376347528914,0.9750693472712748,0.9723284016437528,0.9808114832921662,0.9781297751664616,0.9812423722875772,0.9790437571233352,0.9753868128226488,0.9816134520908616,0.9750498073685984,0.9816132859252952,0.9639673505005824,0.9781141787315696,0.98006995571011,0.9774632436942091,0.9697789441910808,0.9791683361564274,0.9811577311962264,0.9797852425502122,0.9762944194307062,0.9814486508971804,0.9706037556966812,0.9811765311821328,0.9833734226651868,0.9811737458116244,0.9803242912160772,0.9827567073175718,0.9749405038108556,0.9696677156013204,0.9886482961088806,0.9871607885885936,0.9800372854398052,0.9823428834171541,0.9830238833267712,0.9834290263124986,0.983300093840518,0.9836625302858344,0.986176060981966,0.9796566039037641,0.9812073441976152,0.9904036358612291,0.9804345222318842,0.9878584428815396,0.988548909048836,0.9854403990102824,0.9881117208639532
2,0.4588263754984734,0.5122530441438305,0.5111683968085297,0.5008065800340938,0.5124232038503095,0.501493686076904,0.5258687724985599,0.4832403450236559,0.4843185055666014,0.5177088153830367,0.4679974332947737,0.4418658798764431,0.44631610165385227,0.6272385901784858,0.5001013968113787,0.4776483106280439,0.4453239574545916,0.4836183205602113,0.4354196690360782,0.483781612286036,0.5100848213250383,0.5667684519551996,0.5695706996196229,0.4951342968459291,0.513720254010949,0.451096345189806,0.4730658783829446,0.4969017939951093,0.5488302046003171,0.5851172305556329,0.5598771433006215,0.5709741281390979,0.4800625721911166,0.4728752363428088,0.5045594080509902,0.5245192327476433,0.5487438080130829,0.4692357162790574,0.5399793783269236,0.4596941468359466,0.8063657582523852,0.8778429195038445,0.9154057718817258,0.928461008463462,0.9482117089498756,0.9518002332242772,0.9552166200775976,0.9594750866980546,0.9620523598334833,0.9645373840484994,0.9664750276931328,0.9681328027900789,0.969720694454522,0.971062092521098,0.9722314296495408,0.9732786941926872,0.9742428615854876,0.9751309196710491,0.9759363124362944,0.9765841490857772,0.9773715669312306,0.9779393690543569,0.9784551991074238,0.9792464636994624,0.9793375608285948,0.9800930396788698,0.9806400286295268,0.980891725124194,0.9812225199475234,0.9818758310028686,0.9820739537028276,0.9824311951635016,0.9826216698367788,0.9831780282463444,0.9836454422084384,0.9837022876762548,0.98407080072974,0.9842646558202028,0.9846084300195146,0.9850361421380563,0.9853040529167996,0.9854492718592492,0.9854633588317416,0.9861283048217672,0.9860014262974848,0.9858660714164662,0.9866336139443714,0.9862706057712328,0.9867905614267676,0.987303061809166,0.9873888348030032,0.9874434866486363,0.9876123226354148,0.9873806141990332,0.987676615435348,0.9877200469315791,0.9882202833283742,0.9884912983730244,0.9883896499068128,0.9882852447603064
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
